measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
4,YLLs (Years of Life Lost),1,Global,3,Both,3,Late Neonatal,302,Diarrheal diseases,136,Non-exclusive breastfeeding,1,Number,2011,2213901.893964923,2849573.3996884194,1640470.626657193
4,YLLs (Years of Life Lost),1,Global,3,Both,4,Post Neonatal,302,Diarrheal diseases,136,Non-exclusive breastfeeding,1,Number,2011,11076954.146244448,14396715.087957602,7994893.229588822
4,YLLs (Years of Life Lost),1,Global,3,Both,4,Post Neonatal,302,Diarrheal diseases,137,Discontinued breastfeeding,1,Number,2011,577644.0377299144,1032806.4767548017,206060.60531959962
4,YLLs (Years of Life Lost),1,Global,3,Both,5,1 to 4,302,Diarrheal diseases,137,Discontinued breastfeeding,1,Number,2011,639283.7568801998,1149958.2952218142,211407.1756235803
4,YLLs (Years of Life Lost),1,Global,3,Both,3,Late Neonatal,322,Lower respiratory infections,136,Non-exclusive breastfeeding,1,Number,2011,2192082.3377289306,3309606.4722395516,1195050.7678145152
4,YLLs (Years of Life Lost),1,Global,3,Both,4,Post Neonatal,322,Lower respiratory infections,136,Non-exclusive breastfeeding,1,Number,2011,4562780.567174311,7153287.759637701,2404885.4356695716
4,YLLs (Years of Life Lost),50,Montenegro,3,Both,3,Late Neonatal,302,Diarrheal diseases,136,Non-exclusive breastfeeding,1,Number,2011,0.9527527627924595,1.5897738069437453,0.5554531134213596
4,YLLs (Years of Life Lost),50,Montenegro,3,Both,4,Post Neonatal,302,Diarrheal diseases,136,Non-exclusive breastfeeding,1,Number,2011,5.620836980944273,9.687067910433628,2.813031217302723
4,YLLs (Years of Life Lost),50,Montenegro,3,Both,4,Post Neonatal,302,Diarrheal diseases,137,Discontinued breastfeeding,1,Number,2011,0.9881772372933358,2.097407261173718,0.28667628188718136
4,YLLs (Years of Life Lost),50,Montenegro,3,Both,5,1 to 4,302,Diarrheal diseases,137,Discontinued breastfeeding,1,Number,2011,0.1545766230115179,0.32455908943829337,0.0429474837249549
4,YLLs (Years of Life Lost),141,Egypt,3,Both,3,Late Neonatal,322,Lower respiratory infections,136,Non-exclusive breastfeeding,1,Number,2011,39162.09940528442,70776.14083310834,17268.270193490585
4,YLLs (Years of Life Lost),141,Egypt,3,Both,4,Post Neonatal,322,Lower respiratory infections,136,Non-exclusive breastfeeding,1,Number,2011,56746.763280828236,100681.60183279417,23341.82567396989
4,YLLs (Years of Life Lost),4,"Southeast Asia, East Asia, and Oceania",3,Both,3,Late Neonatal,302,Diarrheal diseases,136,Non-exclusive breastfeeding,1,Number,2011,97921.12582525038,131231.36563776966,69515.79117285977
4,YLLs (Years of Life Lost),4,"Southeast Asia, East Asia, and Oceania",3,Both,4,Post Neonatal,302,Diarrheal diseases,136,Non-exclusive breastfeeding,1,Number,2011,544847.4597142369,722788.1416738159,398213.31285339646
4,YLLs (Years of Life Lost),4,"Southeast Asia, East Asia, and Oceania",3,Both,4,Post Neonatal,302,Diarrheal diseases,137,Discontinued breastfeeding,1,Number,2011,50790.91558659389,92637.10565528186,16849.24837050424
4,YLLs (Years of Life Lost),4,"Southeast Asia, East Asia, and Oceania",3,Both,5,1 to 4,302,Diarrheal diseases,137,Discontinued breastfeeding,1,Number,2011,26715.054912491127,47822.596054187736,8848.23884501235
4,YLLs (Years of Life Lost),6,China,3,Both,3,Late Neonatal,322,Lower respiratory infections,136,Non-exclusive breastfeeding,1,Number,2011,68731.28426244743,89741.66820748386,47257.32933463036
4,YLLs (Years of Life Lost),6,China,3,Both,4,Post Neonatal,322,Lower respiratory infections,136,Non-exclusive breastfeeding,1,Number,2011,177141.54552730065,239546.696473074,118326.8015056686
4,YLLs (Years of Life Lost),64,High-income,3,Both,3,Late Neonatal,322,Lower respiratory infections,136,Non-exclusive breastfeeding,1,Number,2011,3725.466241461297,4666.567918422011,2774.6714844494154
4,YLLs (Years of Life Lost),64,High-income,3,Both,4,Post Neonatal,322,Lower respiratory infections,136,Non-exclusive breastfeeding,1,Number,2011,15164.28248873783,19770.651358658888,10949.06238860765
4,YLLs (Years of Life Lost),58,Estonia,3,Both,3,Late Neonatal,322,Lower respiratory infections,136,Non-exclusive breastfeeding,1,Number,2011,11.601318676463375,17.767988345692743,6.406723713063967
4,YLLs (Years of Life Lost),58,Estonia,3,Both,4,Post Neonatal,322,Lower respiratory infections,136,Non-exclusive breastfeeding,1,Number,2011,30.688336233216074,49.17691854875748,16.61681517282722
4,YLLs (Years of Life Lost),60,Lithuania,3,Both,3,Late Neonatal,302,Diarrheal diseases,136,Non-exclusive breastfeeding,1,Number,2011,4.216032703125206,6.2776817726159875,2.564865110962986
4,YLLs (Years of Life Lost),60,Lithuania,3,Both,4,Post Neonatal,302,Diarrheal diseases,136,Non-exclusive breastfeeding,1,Number,2011,24.28575153267868,35.94794321098542,15.269102293562637
4,YLLs (Years of Life Lost),60,Lithuania,3,Both,4,Post Neonatal,302,Diarrheal diseases,137,Discontinued breastfeeding,1,Number,2011,9.884122785104394,18.040765454456324,3.3041771779219804
4,YLLs (Years of Life Lost),60,Lithuania,3,Both,5,1 to 4,302,Diarrheal diseases,137,Discontinued breastfeeding,1,Number,2011,0.7517874109969431,1.416095733083871,0.2628642737847278
4,YLLs (Years of Life Lost),10,Cambodia,3,Both,3,Late Neonatal,302,Diarrheal diseases,136,Non-exclusive breastfeeding,1,Number,2011,1568.9287785753918,3304.090882862894,623.6598671074571
4,YLLs (Years of Life Lost),10,Cambodia,3,Both,4,Post Neonatal,302,Diarrheal diseases,136,Non-exclusive breastfeeding,1,Number,2011,7880.158172252516,15011.245215450665,3548.7776193360946
4,YLLs (Years of Life Lost),10,Cambodia,3,Both,4,Post Neonatal,302,Diarrheal diseases,137,Discontinued breastfeeding,1,Number,2011,551.1596418764136,1269.505891243931,144.75228738679215
