location_id,location,year,sex,ages,risk,exposure min,exposure mean,exposure max
1,Global,2011,Both,1 to 4,Discontinued breastfeeding,56736.89958982118,270268.4454114538,673854.5876433222
1,Global,2011,Both,Late Neonatal,Non-exclusive breastfeeding,79961.42427019803,152789.12505089052,261560.52367977874
1,Global,2011,Both,Post Neonatal,Discontinued breastfeeding,19939.53462428291,77990.42724490275,173271.43045165576
1,Global,2011,Both,Post Neonatal,Non-exclusive breastfeeding,789431.1384025026,1478958.8819844488,2499465.2147845766
4,"Southeast Asia, East Asia, and Oceania",2011,Both,1 to 4,Discontinued breastfeeding,11505.06382397785,57705.41572314621,149105.4880801658
4,"Southeast Asia, East Asia, and Oceania",2011,Both,Late Neonatal,Non-exclusive breastfeeding,11761.659994386344,25358.843298731743,47811.703896600266
4,"Southeast Asia, East Asia, and Oceania",2011,Both,Post Neonatal,Discontinued breastfeeding,4817.281405748463,22153.308994250096,53568.986040404256
4,"Southeast Asia, East Asia, and Oceania",2011,Both,Post Neonatal,Non-exclusive breastfeeding,117034.40587673069,237418.65952189305,431409.55739040003
5,East Asia,2011,Both,1 to 4,Discontinued breastfeeding,5345.6116175979505,25604.234301259075,64187.08483762381
5,East Asia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,5477.062246085319,9474.297514142325,15224.224349994829
5,East Asia,2011,Both,Post Neonatal,Discontinued breastfeeding,2083.0303554676757,10054.690256793167,23731.843698849974
5,East Asia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,46126.90783678761,83293.1894362798,138026.93027366928
6,China,2011,Both,1 to 4,Discontinued breastfeeding,4743.377316973628,23322.839646933626,58635.28720181511
6,China,2011,Both,Late Neonatal,Non-exclusive breastfeeding,5295.970049910025,8994.90797148292,14247.511413659791
6,China,2011,Both,Post Neonatal,Discontinued breastfeeding,2040.995014313064,9661.823024758689,22867.546140709484
6,China,2011,Both,Post Neonatal,Non-exclusive breastfeeding,43341.563878752866,78359.45405917503,129624.36793250279
7,Democratic People's Republic of Korea,2011,Both,1 to 4,Discontinued breastfeeding,168.59768299817586,2537.219760741216,10804.802743031094
7,Democratic People's Republic of Korea,2011,Both,Late Neonatal,Non-exclusive breastfeeding,69.75932873790154,541.7970975570986,2002.6674607149057
7,Democratic People's Republic of Korea,2011,Both,Post Neonatal,Discontinued breastfeeding,32.938772556960465,645.156761939536,2934.8320296571455
7,Democratic People's Republic of Korea,2011,Both,Post Neonatal,Non-exclusive breastfeeding,549.4479589192246,5664.2338388006665,22917.332480365774
8,Taiwan (Province of China),2011,Both,1 to 4,Discontinued breastfeeding,75.05724521430524,536.8954450520421,1766.7268181187692
8,Taiwan (Province of China),2011,Both,Late Neonatal,Non-exclusive breastfeeding,54.9879603937843,170.03821571268037,410.63139602037404
8,Taiwan (Province of China),2011,Both,Post Neonatal,Discontinued breastfeeding,20.94474661083619,139.66161715460706,431.4247847213251
8,Taiwan (Province of China),2011,Both,Post Neonatal,Non-exclusive breastfeeding,522.5373593777693,1626.9491623727142,3968.0927594546138
9,Southeast Asia,2011,Both,1 to 4,Discontinued breastfeeding,7171.88554596675,35898.75670417934,92525.09023128958
9,Southeast Asia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,6826.000617900093,15350.901520588492,29991.04075275568
9,Southeast Asia,2011,Both,Post Neonatal,Discontinued breastfeeding,2759.8352805969494,13262.88395586915,32613.680095386215
9,Southeast Asia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,69587.91966663008,148421.90452431788,279174.3392538498
10,Cambodia,2011,Both,1 to 4,Discontinued breastfeeding,181.13068494228827,1839.279685115298,6667.777297728611
10,Cambodia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,77.51373855750673,606.8143685118217,2200.073136914578
10,Cambodia,2011,Both,Post Neonatal,Discontinued breastfeeding,29.593224870043706,356.74330562750356,1366.283808282292
10,Cambodia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,761.0809766403603,4906.753205539605,16402.989021234353
11,Indonesia,2011,Both,1 to 4,Discontinued breastfeeding,2670.5261775978665,14269.444549722026,38967.08095421686
11,Indonesia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,2753.0806851919997,6383.988419830964,12793.41552307433
11,Indonesia,2011,Both,Post Neonatal,Discontinued breastfeeding,1133.7555806004304,5827.7772842863515,15223.86745912399
11,Indonesia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,24896.547726497323,60461.006248628364,124926.54928345866
